"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation",39,0.726045778609399,2.03840253931995,2.57516866978875e-07,6.0180572174411e-05,5.57462142247176e-05,912,"tags=31%, list=6%, signal=29%","7272/5347/4085/991/10744/9232/9212/699/701/26271/11130/1063"
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion",284,-0.352154876527629,-1.78105215846986,2.41230559733492e-07,6.0180572174411e-05,5.57462142247176e-05,1658,"tags=20%, list=10%, signal=19%","135/57045/3077/114548/57178/3561/5914/283234/1947/3707/101/960/3575/80149/942/30835/3127/10892/8744/3676/84830/3123/3108/8767/972/3109/4092/201633/6693/3119/921/9435/6666/407018/3113/3122/84807/1960/10457/864/3115/27242/3111/2213/6714/920/3117/2615/441478/3553/8808/3552/8013/9308/23308/6347/3280/3118"
"GO:0042742","GO:0042742","defense response to bacterium",165,0.530529056646615,1.81539027556531,2.77435793388997e-07,6.21340578944108e-05,5.75557588916647e-05,1085,"tags=21%, list=7%, signal=19%","6035/3538/3500/3514/3539/3512/3493/3507/306/171389/8970/6037/3494/1991/566/6403/10417/8346/8343/8398/8339/3240/51316/2358/8344/6283/1690/3148/4353/6279/56833/6280/10578/2209"
"GO:0051985","GO:0051985","negative regulation of chromosome segregation",40,0.725270588077671,2.03673376162858,4.11309159014262e-07,8.50302588346791e-05,7.87648713415975e-05,912,"tags=30%, list=6%, signal=28%","7272/5347/4085/991/10744/9232/9212/699/701/26271/11130/1063"
"GO:1905819","GO:1905819","negative regulation of chromosome separation",40,0.725270588077671,2.03673376162858,4.11309159014262e-07,8.50302588346791e-05,7.87648713415975e-05,912,"tags=30%, list=6%, signal=28%","7272/5347/4085/991/10744/9232/9212/699/701/26271/11130/1063"
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion",313,-0.33691601958844,-1.61349827094091,6.11646316962999e-07,0.000121762924210227,0.00011279091926842,1658,"tags=19%, list=10%, signal=18%","135/57045/3077/114548/57178/3561/5914/283234/1947/3707/101/960/3575/80149/942/30835/3127/10892/8744/3676/84830/3383/3123/3108/8767/972/3109/4092/201633/6693/3119/921/9435/6666/407018/3113/3122/84807/1960/10457/864/1524/3115/27242/3111/2213/6714/920/3117/2615/441478/3553/8808/3552/8013/9308/23308/6347/4973/3280/3118"
"GO:0006958","GO:0006958","complement activation, classical pathway",26,0.788727829164894,2.06136183715294,8.57815244687111e-07,0.000164669890721186,0.000152536319825941,208,"tags=38%, list=1%, signal=38%","3538/3500/3514/3539/3493/3507/1191/713/712/3494"
"GO:0002922","GO:0002922","positive regulation of humoral immune response",10,-0.916121382116655,-2.28782581925501,1.13851596862969e-06,0.000211018045909813,0.000195469347790143,266,"tags=40%, list=2%, signal=39%","2208/2213/718/3553"
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation",44,0.698311628890527,1.99776987003512,1.67711582887047e-06,0.000300483252672626,0.000278342381423064,912,"tags=27%, list=6%, signal=26%","7272/5347/4085/991/10744/9232/9212/699/701/26271/11130/1063"
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion",216,-0.373773109631082,-1.76332953095016,2.01198091357819e-06,0.000348851529370413,0.000323146679837856,1568,"tags=20%, list=10%, signal=19%","114548/57178/3561/5914/283234/1947/3707/101/960/3575/942/30835/3127/10892/8744/3676/3123/3108/8767/972/3109/3119/921/9435/6666/3113/3122/84807/1960/864/3115/3111/6714/920/3117/3553/8808/3552/8013/9308/23308/6347/3280/3118"
"GO:0006910","GO:0006910","phagocytosis, recognition",24,0.781101992050463,2.0226762852355,2.89525700486706e-06,0.000486312700036265,0.000450479132665172,376,"tags=38%, list=2%, signal=37%","4240/3538/3500/3514/3539/3493/3507/3494/10417"
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion",239,-0.345381362390921,-1.65807023764185,3.53271711358741e-06,0.000575404681379768,0.000533006441699153,1501,"tags=19%, list=9%, signal=18%","57178/3561/5914/283234/1947/3707/101/960/3575/942/30835/3127/10892/8744/3676/3123/3108/8767/972/3109/4092/3119/921/9435/6666/3113/3122/5329/84807/1960/864/3115/3111/6714/920/3117/55083/3553/8808/3552/8013/9308/23308/6347/3280/3118"
"GO:0019882","GO:0019882","antigen processing and presentation",95,-0.475331998613773,-2.00089293778132,4.22197948126568e-06,0.000667445285641266,0.000618265106699278,1053,"tags=23%, list=6%, signal=22%","30835/3127/3383/3123/3108/972/8722/50856/5641/3109/7057/3119/3113/5971/3122/913/3115/3111/2213/3117/911/3118"
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin",35,0.720951614922808,1.9821356971657,4.7677541959008e-06,0.000732190822941908,0.00067823992019882,208,"tags=29%, list=1%, signal=28%","3538/3500/3514/3539/3493/3507/1191/713/712/3494"
"GO:0050853","GO:0050853","B cell receptor signaling pathway",56,0.644383312031813,1.93719647572985,6.24983948002328e-06,0.00093313575569792,0.000864378384225442,2961,"tags=36%, list=18%, signal=29%","3538/3500/3514/3539/3493/3507/660/3494/931/974/26228/952/29760/3702/933/28526/5583/4332/7006/54923"
"GO:0051983","GO:0051983","regulation of chromosome segregation",108,0.559566507718612,1.84035699298359,6.73704493667827e-06,0.000978692338774208,0.000906578166443477,912,"tags=16%, list=6%, signal=15%","11004/990/4288/7272/157313/5347/4085/991/9787/10744/9232/9212/699/701/26271/11130/1063"
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen",56,-0.555813194512528,-2.11596828022479,9.00694955196117e-06,0.00127400931162609,0.00118013494129574,1053,"tags=30%, list=6%, signal=28%","30835/3127/3123/3108/972/8722/50856/5641/3109/3119/3113/3122/3115/3111/2213/3117/3118"
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle",38,0.694503988362687,1.94807924617365,9.70121588002765e-06,0.00133702654756791,0.00123850880195765,912,"tags=26%, list=6%, signal=25%","7272/5347/4085/991/9212/699/701/26271/11130/1063"
"GO:0006335","GO:0006335","DNA replication-dependent chromatin assembly",32,0.716833024072458,1.93530045915843,1.0909903494635e-05,0.00146601828209158,0.00135799588235852,3268,"tags=62%, list=20%, signal=50%","8358/8355/8356/8352/8368/8353/8354/8359/8208/8366/8357/8350/8362/8968/8363/121504/8370/8294/554313/8361"
"GO:0006956","GO:0006956","complement activation",37,0.699526677008969,1.95038390274325,1.16185907703179e-05,0.00152316891196241,0.00141093541318623,208,"tags=30%, list=1%, signal=29%","3538/3500/3514/3539/3493/3507/1191/713/712/11326/3494"
"GO:0099024","GO:0099024","plasma membrane invagination",63,0.6074493630728,1.86280418700728,1.35508120182462e-05,0.00173418129995413,0.00160639951995751,1147,"tags=24%, list=7%, signal=22%","4240/3538/3500/3514/3539/3493/3507/3494/3673/9212/9886/399/2209/26228/1793"
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition",37,0.695352695874254,1.93874622560661,1.47168309432275e-05,0.00183960386790344,0.00170405410921582,912,"tags=27%, list=6%, signal=26%","7272/5347/4085/991/9212/699/701/26271/11130/1063"
"GO:0071168","GO:0071168","protein localization to chromatin",51,0.641281383239027,1.89128134921904,1.73654450452677e-05,0.00212134697996168,0.00196503720249082,3799,"tags=47%, list=23%, signal=36%","3009/8368/8970/8335/55506/5347/8359/8366/157570/4436/3012/84515/8362/8363/121504/8370/8294/554313/10856/8361/8364/80124/91782/8360"
"GO:0002468","GO:0002468","dendritic cell antigen processing and presentation",11,-0.862980188446543,-2.24901918870208,1.93345874542801e-05,0.00222292922867336,0.00205913444340269,888,"tags=55%, list=5%, signal=52%","3123/972/50856/7057/3122/2213"
"GO:0006911","GO:0006911","phagocytosis, engulfment",54,0.627527154987401,1.87815174588717,1.96133880905186e-05,0.00222292922867336,0.00205913444340269,1147,"tags=26%, list=7%, signal=24%","4240/3538/3500/3514/3539/3493/3507/3494/3673/9886/399/2209/26228/1793"
"GO:0010324","GO:0010324","membrane invagination",70,0.585070149442023,1.82054837900541,1.98512749723389e-05,0.00222292922867336,0.00205913444340269,1147,"tags=21%, list=7%, signal=20%","4240/3538/3500/3514/3539/3493/3507/3494/3673/9212/9886/399/2209/26228/1793"
"GO:0140053","GO:0140053","mitochondrial gene expression",163,0.489769236176713,1.67721334616956,1.96291798987034e-05,0.00222292922867336,0.00205913444340269,5810,"tags=59%, list=36%, signal=38%","56652/26589/79736/51318/285367/80298/51069/6182/63875/64216/10922/10102/57570/54938/3028/63931/51204/10240/26995/3035/64983/51264/11222/55006/54534/65008/118487/29093/54948/3396/51073/6183/81554/54516/124454/28998/64863/64979/10573/51250/8846/9801/9617/4701/79072/84769/65005/79675/51106/116540/55157/55173/64975/115416/64969/64949/64978/64981/65080/219927/7978/28958/84881/65993/25821/63899/57129/9692/79590/5188/92170/7019/64963/51023/29088/78988/51258/122704/10884/28957/5562/51373/64928/51021/26024/26164/55699/133522/28977/51081/29074/740/54931/60488/60528/54998"
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation",81,0.571575571155493,1.81290563657492,2.68107974700467e-05,0.00293470386300264,0.00271846252572876,912,"tags=17%, list=6%, signal=16%","990/7272/5347/4085/991/9787/10744/9232/9212/699/701/26271/11130/1063"
"GO:0050731","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation",106,-0.419323871887828,-1.80576349947816,2.72995708186292e-05,0.00293470386300264,0.00271846252572876,1024,"tags=18%, list=6%, signal=17%","4739/55294/8767/255324/972/1436/11009/3084/9148/7422/133396/6714/920/8829/3976/57091/1839/5008/3280"
"GO:0031577","GO:0031577","spindle checkpoint signaling",36,0.682686218646641,1.8908522426866,3.16218445053771e-05,0.00333269439640004,0.00308712744087583,912,"tags=25%, list=6%, signal=24%","7272/5347/4085/991/9212/699/701/11130/1063"
"GO:0033045","GO:0033045","regulation of sister chromatid segregation",87,0.556321745662421,1.78082971578356,4.26581194449344e-05,0.00440937292339466,0.00408447176061821,912,"tags=16%, list=6%, signal=15%","990/7272/5347/4085/991/9787/10744/9232/9212/699/701/26271/11130/1063"
"GO:0021879","GO:0021879","forebrain neuron differentiation",20,-0.741138522237488,-2.26077715167337,5.4293960480478e-05,0.00503341526188022,0.00466253203205747,1856,"tags=50%, list=11%, signal=44%","27185/57178/3624/55558/1436/64919/8828/5361/8829/3280"
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling",35,0.683590781528909,1.87941834413801,5.29149965456226e-05,0.00503341526188022,0.00466253203205747,912,"tags=26%, list=6%, signal=24%","7272/5347/4085/991/9212/699/701/11130/1063"
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling",35,0.683590781528909,1.87941834413801,5.29149965456226e-05,0.00503341526188022,0.00466253203205747,912,"tags=26%, list=6%, signal=24%","7272/5347/4085/991/9212/699/701/11130/1063"
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling",35,0.683590781528909,1.87941834413801,5.29149965456226e-05,0.00503341526188022,0.00466253203205747,912,"tags=26%, list=6%, signal=24%","7272/5347/4085/991/9212/699/701/11130/1063"
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division",43,0.651568120683848,1.85781643014041,5.4314062360754e-05,0.00503341526188022,0.00466253203205747,912,"tags=26%, list=6%, signal=24%","7272/5347/4085/991/9212/699/701/26271/10040/11130/1063"
"GO:0051306","GO:0051306","mitotic sister chromatid separation",84,0.558655102027959,1.77471737418808,5.20323431195088e-05,0.00503341526188022,0.00466253203205747,912,"tags=17%, list=6%, signal=16%","990/7272/5347/4085/991/9787/10744/9232/9212/699/701/26271/11130/1063"
"GO:0006959","GO:0006959","humoral immune response",120,0.510105872714517,1.69399675877852,7.76017097094924e-05,0.0070696472828563,0.00654872590411952,1073,"tags=24%, list=7%, signal=23%","3538/3500/3514/3539/3512/3493/3507/1191/5196/8970/713/2919/712/11326/6037/3494/1991/566/10417/8346/8343/8398/8339/931/8344/6283/6280/10578/717"
"GO:0071459","GO:0071459","protein localization to chromosome, centromeric region",39,0.647176709975764,1.81697447718795,8.46548474791536e-05,0.00758366342000751,0.00702486716800695,4024,"tags=56%, list=25%, signal=43%","8368/8970/7272/8335/9212/701/8359/8366/55166/983/3012/8362/8363/121504/8370/8294/554313/8361/8364/8360/27085/9183"
"GO:0006376","GO:0006376","mRNA splice site selection",43,-0.542700545720362,-1.97730778818239,8.90088345305576e-05,0.00784299156724176,0.007265086925445,3274,"tags=51%, list=20%, signal=41%","6433/10658/101954277/6431/51631/135295/10291/101954264/91746/60677/6430/55692/7536/101954266/101954272/100151683/6060/26824/105378616/26864/100151684/101447996"
"GO:0002923","GO:0002923","regulation of humoral immune response mediated by circulating immunoglobulin",10,-0.846808202789805,-2.11473032735389,9.66485710600468e-05,0.00837880757173793,0.0077614217506625,266,"tags=40%, list=2%, signal=39%","5788/1379/2208/2213"
"GO:1905818","GO:1905818","regulation of chromosome separation",92,0.535463856975821,1.72964872237707,0.000114546484754604,0.00977281516755546,0.00905271299731453,912,"tags=15%, list=6%, signal=14%","990/7272/5347/4085/991/9787/10744/9232/9212/699/701/26271/11130/1063"
"GO:0042311","GO:0042311","vasodilation",29,0.683858403410503,1.82324166049578,0.000151399872507189,0.012715223667596,0.0117783124499836,716,"tags=31%, list=4%, signal=30%","2852/1910/2982/846/3778/8398/4878/3672/154"
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation",179,-0.336390410092785,-1.57887969007814,0.000154078134565145,0.0127410765121178,0.011802260348067,2603,"tags=27%, list=16%, signal=23%","51561/637/1499/3635/199/3600/7037/3569/8379/23529/259307/868/64926/4773/5588/9231/196/7940/472/58515/57045/57630/7133/283234/1947/4208/942/30835/8744/83593/3123/8767/972/3109/6693/3113/10457/944/3115/27242/1026/5618/2213/2615/3553/3552/1880/23308/3280"
"GO:0070663","GO:0070663","regulation of leukocyte proliferation",196,-0.32697962461601,-1.53360544168667,0.000158799245126796,0.0129325142811595,0.011979592176232,2603,"tags=27%, list=16%, signal=23%","51561/637/1499/3635/199/3600/1265/7037/3569/8379/23529/259307/868/64926/4773/5588/9231/196/7940/472/58515/57045/57630/7133/283234/1947/4208/942/30835/8744/83593/5747/3123/8767/972/3109/6693/1436/3113/10457/944/3115/27242/1026/5618/2213/2615/3553/3552/1880/23308/3280"
"GO:0000395","GO:0000395","mRNA 5'-splice site recognition",19,-0.691553798742703,-2.06876724448602,0.000169626994757432,0.0136081357734507,0.0126054310322491,3274,"tags=68%, list=20%, signal=55%","6433/101954277/135295/101954264/101954266/101954272/100151683/6060/26824/105378616/26864/100151684/101447996"
"GO:0060216","GO:0060216","definitive hemopoiesis",15,0.795453246458558,1.87931416758313,0.00017909170345386,0.0141561456774191,0.0131130612590829,150,"tags=27%, list=1%, signal=26%","4211/3205/3214/3213"
"GO:0030217","GO:0030217","T cell differentiation",243,-0.313494408722246,-1.50920584053631,0.000183245603425948,0.014274566933543,0.0132227567384399,1568,"tags=19%, list=10%, signal=17%","114548/57630/57178/3561/5914/6932/29781/3707/101/6095/3575/80149/860/942/5734/10892/8744/2841/3123/8767/972/677/4092/6693/64919/3726/3714/80758/6666/5971/3662/3122/84807/1960/864/944/639/3111/4063/920/441478/3553/8808/3552/1880/9308"
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition",76,0.541166328481348,1.70387157956388,0.000188694541726919,0.014489045168317,0.0134214313138094,912,"tags=16%, list=6%, signal=15%","990/7272/5347/4085/991/9787/9212/699/701/26271/11130/1063"
"GO:0030497","GO:0030497","fatty acid elongation",11,0.841964150474198,1.83198750329032,0.000203802629717681,0.0154287202075005,0.0142918671395794,712,"tags=36%, list=4%, signal=35%","79071/83401/9200/79993"
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle",80,0.538181608901032,1.70216826440842,0.000231347681741105,0.0172707470744228,0.0159981657110443,912,"tags=15%, list=6%, signal=14%","990/7272/5347/4085/991/9787/9212/699/701/26271/11130/1063"
"GO:0042761","GO:0042761","very long-chain fatty acid biosynthetic process",10,0.850550105890764,1.81208114213753,0.000241405418985211,0.0177747140691166,0.0164649982956027,712,"tags=40%, list=4%, signal=38%","79071/83401/9200/79993"
"GO:0061644","GO:0061644","protein localization to CENP-A containing chromatin",17,0.759821260705761,1.8432234750615,0.000290362096729047,0.0207036367233084,0.0191781055963278,3799,"tags=88%, list=23%, signal=68%","8368/8970/8335/8359/8366/3012/8362/8363/121504/8370/8294/554313/8361/8364/8360"
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",36,0.644934761539848,1.78629113483741,0.00029364848414439,0.0207036367233084,0.0191781055963278,3331,"tags=61%, list=21%, signal=49%","5196/8970/2919/6037/1991/8346/8343/8339/8344/6283/6280/10578/116842/3627/8349/2921/283/8347/85236/2597/5473/54145"
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle",77,0.540738118886786,1.70268175317674,0.000300443472449871,0.0207036367233084,0.0191781055963278,912,"tags=16%, list=6%, signal=15%","990/7272/5347/4085/991/9787/9212/699/701/26271/11130/1063"
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle",79,0.53860619949339,1.70073865795217,0.000298732518734325,0.0207036367233084,0.0191781055963278,912,"tags=15%, list=6%, signal=14%","990/7272/5347/4085/991/9787/9212/699/701/26271/11130/1063"
"GO:1901615","GO:1901615","organic hydroxy compound metabolic process",333,0.407837717358539,1.45890322724971,0.000300279812405114,0.0207036367233084,0.0191781055963278,4417,"tags=36%, list=27%, signal=27%","4128/1588/1718/2852/8613/9023/247/9420/51474/1910/5028/80270/22949/10755/1717/314/4051/319/27284/2034/51805/1066/6307/1071/2184/55825/3417/2672/7108/403313/80271/6697/51478/117247/219/10613/6713/147015/1728/1798/2584/1645/4923/23600/340485/1601/4598/11161/3939/23541/56623/9365/8644/6309/3291/1595/54361/1719/222236/3028/4047/9517/9562/53905/6799/130367/2539/84650/2629/91734/3251/10005/2232/51700/51141/285440/5860/197257/445329/6818/6721/2222/23780/64801/3930/54884/3684/654/134429/57026/5321/3292/5728/8818/3953/1181/7038/10170/3613/5360/3612/57665/57103/1050/2224/23682/1508/2805/6609/79644/80025/136319/6715/128/116150/3988/10558/3157/23461/120227"
"GO:0002385","GO:0002385","mucosal immune response",17,0.757700958839018,1.83807990988755,0.000315474259446112,0.0214642296775045,0.019882654859162,3331,"tags=76%, list=21%, signal=61%","8970/6036/6037/8346/8343/8339/8344/8349/2865/8347/85236/2867/54145"
"GO:0071347","GO:0071347","cellular response to interleukin-1",67,-0.460687968151825,-1.80044231101475,0.000346524861552681,0.0232821391355707,0.0215666130940024,722,"tags=19%, list=4%, signal=19%","9590/3091/407018/3576/414062/6348/23236/9252/9705/3553/8808/6347/3280"
"GO:0006607","GO:0006607","NLS-bearing protein import into nucleus",19,-0.670367684742309,-2.00538947292053,0.000375673210190101,0.0237977021421167,0.0220441872474345,3221,"tags=68%, list=20%, signal=55%","3838/3841/3840/3843/868/285190/653489/727851/84220/5903/729540/400966/729857"
"GO:0010718","GO:0010718","positive regulation of epithelial to mesenchymal transition",37,-0.551412597985386,-1.9239308859636,0.000369608143152428,0.0237977021421167,0.0220441872474345,1114,"tags=41%, list=7%, signal=38%","1499/3569/4851/286204/7046/4088/7074/5747/2022/6615/7042/28984/3553/80139/10439"
